교수명,연구실명,
정호영,Multimodal Language & Cognition Lab.,
이민호,Artificial Brain Research Lab.,
말리페디람모한,Evolutionary Computation and Intelligent Systems lab.,
정희철,KNU Vision & Learning Lab.,
강재모,Intelligent ICT with Vision & Reinforcement Learning Lab.,
이동규,Computer Vision & Machine Intelligence Lab.,
김현철,KNU Neuroscience & AI Lab.,
